productID,productName,productDescription,productType,price
1,Kopparberg Strawberry & Lime on Draught,The blend of ripe strawberry flavour energised by zingy lime delivers a fruity and refreshing cider.,cider,3.23
2,Strongbow Dark Fruits,Cider with Blackcurrant and Blackberry Juices and Flavours.,cider,2.79
3,Magners,"Premium Irish Cider crafted with the finest blend of 17 Apple Varieties, picked from our orchards in Clonmel, Tipperary.",cider,1.99
4,Strongbow,"A blend of the bittersweet cider apples, grown and pressed in Herefordshire.",cider,2.59
5,Thatchers Gold,"A medium dry golden cider, with a smooth and refreshing taste. Crafted from a blend of our favourite apples including Dabinett, Porters Perfection and Harry Masters Jersey.",cider,2.65
6,Kopparberg Mixed Fruit,"Apple cider infused with raspberry and blackcurrant delivers a truly unique, fruity taste rich in colour and refreshing down to the last drop.",cider,2.45
7,Kopparberg Strawberry & Lime,The blend of ripe strawberry flavour energised by zingy lime delivers a fruity and refreshing cider.,cider,2.79
8,Bulmers No 17,"Crushed Red Berries & lime is a full flavoured mixed red berry cider, cut through with a sharp shot of lime to deliver an explosive fruit taste.",cider,3.35
9,Sadler's 1861 White Beer,"A white beer brewed purely with English Hops, Barley and Wheat. A soft spiced malt leads to a floral fruit finish.",beer,2.99
10,Thornbridge Versa Weisse Beer,"This fresh, fruity Weisse beer pours a hazy, burnt orange and true to its style, it has well balanced flavours of clove spiciness, banana and bubble gum.",beer,1.99
11,Blue Moon Belgian White,"A wheat beer brewed with orange peel for a subtle sweetness and bright, citrus aroma.",beer,1.99
12,Birra Moretti,"The best raw materials are used to make Birra Moretti, as well as a special blend of high quality hops that gives it a unique taste and fragrance, enhancing its perfectly balanced bitter taste.",beer,3.1
13,Tsingtao,"Crafted using malted barley, hops, yeast & pure mountain water for a crisp refreshing beer",beer,3.1
14,Budweiser,"Light bodied lager with clean, crisp, dry finish",beer,3.19
15,Peroni,Peroni Nastro Azzurro is a crisp and refreshing beer crafted with passion and flair to offer a delicate balance of bitterness and subtle citrus aromatic notes.,beer,3.25
16,Newcastle Brown Ale,"A premium brown ale, full-bodied, with a distinctive caramel, fruity character and a pleasantly sweet after-taste.",beer,2.95
17,Corona,Golden lager with honey and refreshing citrus notes.,beer,3.25
18,Beefeater London Blood Orange,The fresh citrus flavours of blood orange tune perfectly with the classic notes of juniper and citrus of Beefeater Gin.,gin,3
19,Gordon's Pink Gin,"Refreshing taste of Gordon's with the natural sweetness of raspberries and strawberries, with the tang of redcurrant served up in a unique blushing tone.",gin,3
20,Bombay Sapphire,"A London dry gin infused with 10 botanicals. Fresh citrus and juniper flavours with a light, spicy finish.",gin,3
21,Tanqueray,"A perfect balance of four botanicals - juniper, coriander, angelica and liquorice.",gin,3
22,Hendrick's Gin,"In addition to the traditional juniper infusion, Hendrick's uses Bulgarian rose and cucumber to add flavour.",gin,3
23,GinTing,"Fresh, fruity Gin using the finest botanicals & natural flavours: Passionfruit, Mango and Elderflower.",gin,3
24,Didsbury Gin Raspberry & Elderflower,"A blend of fresh and dried lemon, lime, orange and grapefruit peels perfectly balance with classic gin botanicals.",gin,3
25,Gin Fizz,"Gin, juice, sugar, syrup, and egg white.",gin,3
26,Gin and Ginger,"Edinburgh Gin Rhubarb & Ginger Liqueur and ginger ale, with lemon",gin,3.4
27,Smirnoff,Triple distilled and filtered 10 times for purity.,vodka,3.3
28,Stolichnaya,"Premium Russian Vodka with flavours of sweet vanilla, butterscotch and orange rind.",vodka,3.3
29,Skyy,Made with 100% pure filtered Californian water and American Midwest grains.,vodka,3.3
30,Absolut,"Rich, full bodied and complex, yet smooth and mellow, this shows a distinct character of grain, followed by a hint of dried fruit.",vodka,3.3
31,Grey Goose,"Distilled from French wheat, with spring water from Gensac and filteredthrough Champagne limestone.",vodka,4.3
32,Captain Morgan Original Spiced Gold,A smooth blend of warm spices and vanilla notes.,rum,1.99
33,Captain Morgan White,Blended from the finest selection of caribbean rums.,rum,1.99
34,Bacardi Carta Blanca,A light. floral and fruity white rum.,rum,3.45
35,The Kraken Black Spiced,"Chocolate sweetness, vanilla, cinnamon, clove, ginger and orange all come through in perfect harmony.",rum,3.5
36,Havana Club 7-year-old,"A rich, sweet, dark rum with hints of spice and vanilla.",rum,3.5
37,Red Leg Spiced,"Premium Caribbean rum infused with Jamaican vanilla, ginger and spices left to rest in old oak barrels and emerges as a smooth tasting rum with a hint of sweet spice. ",rum,3.5
38,Ron Zacapa,Made from pure sugar cane honey and aged high up in the Guatemalan mountains.,rum,4.5
39,Haig Club Clubman,"Notes of vanilla and dried fruits result in a light, sweet and vibrant taste with a smooth, clean finish.",whisky,2
40,Bell's,"A select blend of grain and fine malt whiskies, all matured in selected oak casks for a richer flavour.",whisky,3
41,The Famous Grouse,"Well-balanced oak, fruitiness with a hint of citrus.",whisky,3
42,Jameson,"Spicy, nutty and vanilla notes.",whisky,3
43,Jack Daniel's,"Charcoal mellowed, a balance of sweet and oaky flavours.",whisky,4
44,Chardonnay,Juicy and smooth.,wine,2.65
45,Pinot Grigio,Crisp and fresh.,wine,2.65
46,Merlot,"Fruity, warm and velvety, with a touch of spice.",wine,2.65
47,Shiraz,"Soft and medium bodied, with plump, juicy fruit flavours.",wine,2.85
48,White Zinfandel Rosé,"Light, fresh and fruity.",wine,2.65
49,Villa Maria Sauvignon Blanc,"Intense, ripe gooseberry aromas, with lime and passion fruit flavours.",wine,14.29
50,Hardys Chardonnay,"Tropical and juicy, with characters of peach, melon and pineapple.",wine,9.69
